User_id,category,Amount,Age,Day_of_week,Month,Day_of_month,year
1,Entertainment,1327,21,4,3,1,2024
1,Public Transport,406,45,5,3,2,2024
1,Rent,16270,25,6,3,3,2024
1,Public Transport,960,26,0,3,4,2024
1,Groceries,1403,50,1,3,5,2024
1,Travel,6010,37,2,3,6,2024
1,Shopping,4552,22,3,3,7,2024
1,Travel,2558,30,4,3,8,2024
1,Groceries,282,31,5,3,9,2024
1,Dining,332,23,6,3,10,2024
1,Entertainment,2384,28,0,3,11,2024
1,Education,2929,21,1,3,12,2024
1,Hobbies,1372,40,2,3,13,2024
1,Rent,10321,34,3,3,14,2024
1,Public Transport,799,33,4,3,15,2024
1,Utilities,2465,28,5,3,16,2024
1,Utilities,1850,40,6,3,17,2024
1,Entertainment,1558,24,0,3,18,2024
1,Travel,5432,38,1,3,19,2024
1,Subscriptions,1394,32,2,3,20,2024
1,Luxury Items,19703,45,3,3,21,2024
1,Luxury Items,20202,41,4,3,22,2024
1,Education,4822,20,5,3,23,2024
1,Rent,9394,28,6,3,24,2024
1,Groceries,579,36,0,3,25,2024
1,Dining,635,32,1,3,26,2024
1,Utilities,692,33,2,3,27,2024
1,Utilities,1404,24,3,3,28,2024
1,Rent,8399,38,4,3,29,2024
1,Luxury Items,9115,32,5,3,30,2024
1,Dining,930,27,6,3,31,2024
1,Entertainment,1027,27,0,4,1,2024
1,Entertainment,1924,29,1,4,2,2024
1,Subscriptions,263,23,2,4,3,2024
1,Education,7412,33,3,4,4,2024
1,Subscriptions,315,35,4,4,5,2024
1,Rent,8113,30,5,4,6,2024
1,Hobbies,1058,39,6,4,7,2024
1,Hobbies,456,40,0,4,8,2024
1,Education,9157,34,1,4,9,2024
1,Entertainment,1097,22,2,4,10,2024
1,Subscriptions,205,26,3,4,11,2024
1,Public Transport,89,39,4,4,12,2024
1,Subscriptions,121,35,5,4,13,2024
1,Groceries,772,31,6,4,14,2024
1,Luxury Items,22389,27,0,4,15,2024
1,Shopping,2061,26,1,4,16,2024
1,Entertainment,619,19,2,4,17,2024
1,Education,5273,22,3,4,18,2024
1,Entertainment,1710,19,4,4,19,2024
1,Luxury Items,8526,28,5,4,20,2024
1,Shopping,1683,21,6,4,21,2024
1,Shopping,3098,32,0,4,22,2024
1,Public Transport,374,28,1,4,23,2024
1,Luxury Items,15872,35,2,4,24,2024
1,Utilities,916,35,3,4,25,2024
1,Luxury Items,17100,39,4,4,26,2024
1,Groceries,409,23,5,4,27,2024
1,Travel,2797,27,6,4,28,2024
1,Subscriptions,1256,39,0,4,29,2024
1,Healthcare,2169,47,1,4,30,2024
1,Hobbies,568,36,2,5,1,2024
1,Healthcare,3924,46,3,5,2,2024
1,Subscriptions,575,19,4,5,3,2024
1,Travel,4812,29,5,5,4,2024
1,Public Transport,133,36,6,5,5,2024
1,Groceries,1245,50,0,5,6,2024
1,Travel,6338,37,1,5,7,2024
1,Shopping,3883,25,2,5,8,2024
1,Hobbies,1804,32,3,5,9,2024
1,Subscriptions,302,23,4,5,10,2024
1,Luxury Items,18540,29,5,5,11,2024
1,Hobbies,457,19,6,5,12,2024
1,Entertainment,2409,24,0,5,13,2024
1,Shopping,2410,31,1,5,14,2024
1,Public Transport,824,28,2,5,15,2024
1,Healthcare,4383,25,3,5,16,2024
1,Luxury Items,11938,43,4,5,17,2024
1,Travel,4563,29,5,5,18,2024
1,Subscriptions,152,23,6,5,19,2024
1,Healthcare,3097,38,0,5,20,2024
1,Rent,12963,28,1,5,21,2024
1,Subscriptions,1450,27,2,5,22,2024
1,Education,1282,30,3,5,23,2024
1,Groceries,1472,28,4,5,24,2024
1,Groceries,372,27,5,5,25,2024
1,Public Transport,134,40,6,5,26,2024
1,Education,2275,35,0,5,27,2024
1,Public Transport,415,26,1,5,28,2024
1,Entertainment,814,30,2,5,29,2024
1,Luxury Items,18117,39,3,5,30,2024
1,Entertainment,2424,18,4,5,31,2024
1,Dining,477,35,5,6,1,2024
1,Groceries,538,39,6,6,2,2024
1,Luxury Items,13054,43,0,6,3,2024
1,Rent,9085,23,1,6,4,2024
1,Subscriptions,1303,26,2,6,5,2024
1,Utilities,2003,33,3,6,6,2024
1,Healthcare,2621,36,4,6,7,2024
1,Luxury Items,11190,30,5,6,8,2024
1,Shopping,3739,26,6,6,9,2024
1,Utilities,481,49,0,6,10,2024
1,Entertainment,2119,18,1,6,11,2024
1,Public Transport,137,30,2,6,12,2024
1,Luxury Items,18369,29,3,6,13,2024
1,Rent,17509,31,4,6,14,2024
1,Education,6008,27,5,6,15,2024
1,Subscriptions,682,33,6,6,16,2024
1,Luxury Items,12913,36,0,6,17,2024
1,Dining,1993,34,1,6,18,2024
1,Groceries,587,31,2,6,19,2024
1,Shopping,669,19,3,6,20,2024
1,Entertainment,527,23,4,6,21,2024
1,Travel,9766,26,5,6,22,2024
1,Utilities,608,49,6,6,23,2024
1,Rent,15064,32,0,6,24,2024
1,Public Transport,933,29,1,6,25,2024
1,Utilities,1396,27,2,6,26,2024
1,Groceries,1091,21,3,6,27,2024
1,Dining,400,31,4,6,28,2024
1,Luxury Items,24988,42,5,6,29,2024
1,Shopping,3998,19,6,6,30,2024
1,Utilities,1789,25,0,7,1,2024
1,Luxury Items,18241,40,1,7,2,2024
1,Luxury Items,16588,41,2,7,3,2024
1,Travel,9179,27,3,7,4,2024
1,Subscriptions,1485,29,4,7,5,2024
1,Entertainment,1665,20,5,7,6,2024
1,Healthcare,2880,45,6,7,7,2024
1,Healthcare,3400,36,0,7,8,2024
1,Subscriptions,769,23,1,7,9,2024
1,Groceries,1071,44,2,7,10,2024
1,Rent,13061,39,3,7,11,2024
1,Luxury Items,20807,28,4,7,12,2024
1,Luxury Items,22957,43,5,7,13,2024
1,Utilities,2737,32,6,7,14,2024
1,Groceries,899,33,0,7,15,2024
1,Healthcare,4988,23,1,7,16,2024
1,Subscriptions,996,38,2,7,17,2024
1,Healthcare,2066,45,3,7,18,2024
1,Education,1345,27,4,7,19,2024
1,Groceries,690,30,5,7,20,2024
1,Travel,6968,39,6,7,21,2024
1,Luxury Items,5979,42,0,7,22,2024
1,Utilities,953,35,1,7,23,2024
1,Groceries,1179,20,2,7,24,2024
1,Luxury Items,21085,37,3,7,25,2024
1,Rent,8121,40,4,7,26,2024
1,Healthcare,1567,58,5,7,27,2024
1,Luxury Items,19104,29,6,7,28,2024
1,Groceries,1470,39,0,7,29,2024
1,Rent,12802,25,1,7,30,2024
1,Groceries,1437,48,2,7,31,2024
1,Luxury Items,11563,38,3,8,1,2024
1,Travel,8154,31,4,8,2,2024
1,Utilities,1406,39,5,8,3,2024
1,Shopping,3810,33,6,8,4,2024
1,Rent,19118,28,0,8,5,2024
1,Entertainment,1862,30,1,8,6,2024
1,Luxury Items,14253,41,2,8,7,2024
1,Utilities,1190,21,3,8,8,2024
1,Subscriptions,1390,29,4,8,9,2024
1,Luxury Items,6543,25,5,8,10,2024
1,Healthcare,542,28,6,8,11,2024
1,Rent,15848,35,0,8,12,2024
1,Shopping,3676,35,1,8,13,2024
1,Healthcare,1983,26,2,8,14,2024
1,Healthcare,1493,42,3,8,15,2024
1,Groceries,578,29,4,8,16,2024
1,Hobbies,776,39,5,8,17,2024
1,Groceries,1062,19,6,8,18,2024
1,Public Transport,629,30,0,8,19,2024
1,Hobbies,633,22,1,8,20,2024
1,Education,2175,31,2,8,21,2024
1,Groceries,1425,19,3,8,22,2024
1,Healthcare,3757,44,4,8,23,2024
1,Public Transport,710,36,5,8,24,2024
1,Rent,16314,26,6,8,25,2024
1,Utilities,759,37,0,8,26,2024
1,Luxury Items,7550,38,1,8,27,2024
1,Entertainment,1938,21,2,8,28,2024
1,Travel,2948,38,3,8,29,2024
1,Healthcare,4657,21,4,8,30,2024
1,Public Transport,126,20,5,8,31,2024
1,Entertainment,638,26,6,9,1,2024
1,Rent,18735,35,0,9,2,2024
1,Entertainment,1008,20,1,9,3,2024
1,Hobbies,2581,21,2,9,4,2024
1,Healthcare,3826,27,3,9,5,2024
1,Subscriptions,593,39,4,9,6,2024
1,Dining,698,23,5,9,7,2024
1,Groceries,1444,45,6,9,8,2024
1,Luxury Items,18463,45,0,9,9,2024
1,Utilities,964,47,1,9,10,2024
1,Healthcare,1616,29,2,9,11,2024
1,Subscriptions,393,23,3,9,12,2024
1,Shopping,3609,30,4,9,13,2024
1,Rent,17670,39,5,9,14,2024
1,Rent,17333,39,6,9,15,2024
1,Healthcare,4328,34,0,9,16,2024
1,Public Transport,601,41,1,9,17,2024
1,Shopping,4976,21,2,9,18,2024
1,Luxury Items,17521,35,3,9,19,2024
1,Public Transport,512,35,4,9,20,2024
1,Luxury Items,9968,31,5,9,21,2024
1,Entertainment,1959,20,6,9,22,2024
1,Healthcare,587,57,0,9,23,2024
1,Education,9289,29,1,9,24,2024
1,Groceries,1207,25,2,9,25,2024
1,Public Transport,305,26,3,9,26,2024
1,Subscriptions,540,39,4,9,27,2024
1,Shopping,3695,22,5,9,28,2024
1,Education,5529,19,6,9,29,2024
1,Education,4452,29,0,9,30,2024
1,Healthcare,3741,27,1,10,1,2024
1,Subscriptions,273,21,2,10,2,2024
1,Utilities,2619,41,3,10,3,2024
1,Groceries,525,28,4,10,4,2024
1,Education,8968,29,5,10,5,2024
1,Dining,334,26,6,10,6,2024
1,Entertainment,1660,26,0,10,7,2024
1,Shopping,1077,24,1,10,8,2024
1,Shopping,510,29,2,10,9,2024
1,Hobbies,1047,28,3,10,10,2024
1,Travel,6531,23,4,10,11,2024
1,Public Transport,468,43,5,10,12,2024
1,Shopping,2494,19,6,10,13,2024
1,Subscriptions,144,26,0,10,14,2024
1,Hobbies,2626,36,1,10,15,2024
1,Travel,7287,28,2,10,16,2024
1,Subscriptions,898,29,3,10,17,2024
1,Luxury Items,16008,25,4,10,18,2024
1,Public Transport,169,39,5,10,19,2024
1,Shopping,2791,25,6,10,20,2024
1,Travel,2962,26,0,10,21,2024
1,Rent,15955,32,1,10,22,2024
1,Travel,5658,34,2,10,23,2024
1,Utilities,2337,50,3,10,24,2024
1,Education,2204,19,4,10,25,2024
1,Entertainment,2251,18,5,10,26,2024
1,Public Transport,511,18,6,10,27,2024
1,Rent,14295,37,0,10,28,2024
1,Public Transport,253,40,1,10,29,2024
1,Travel,8858,35,2,10,30,2024
1,Travel,7167,22,3,10,31,2024
1,Hobbies,2600,33,4,11,1,2024
1,Utilities,1235,38,5,11,2,2024
1,Utilities,1084,49,6,11,3,2024
1,Travel,3739,33,0,11,4,2024
1,Luxury Items,8430,32,1,11,5,2024
1,Dining,605,23,2,11,6,2024
1,Public Transport,240,35,3,11,7,2024
1,Entertainment,1143,29,4,11,8,2024
1,Dining,330,22,5,11,9,2024
1,Luxury Items,18527,41,6,11,10,2024
1,Healthcare,4270,18,0,11,11,2024
1,Healthcare,1895,36,1,11,12,2024
1,Subscriptions,463,36,2,11,13,2024
1,Dining,703,31,3,11,14,2024
1,Utilities,2382,31,4,11,15,2024
1,Rent,11922,37,5,11,16,2024
1,Utilities,1094,39,6,11,17,2024
1,Dining,1545,20,0,11,18,2024
1,Healthcare,2504,30,1,11,19,2024
1,Utilities,1248,32,2,11,20,2024
1,Travel,9257,25,3,11,21,2024
1,Groceries,1218,41,4,11,22,2024
1,Entertainment,1935,24,5,11,23,2024
1,Shopping,2747,25,6,11,24,2024
1,Entertainment,769,28,0,11,25,2024
1,Utilities,1937,39,1,11,26,2024
1,Shopping,2776,20,2,11,27,2024
1,Entertainment,1948,19,3,11,28,2024
1,Travel,8045,36,4,11,29,2024
1,Rent,9313,40,5,11,30,2024
1,Public Transport,850,33,6,12,1,2024
1,Healthcare,2318,44,0,12,2,2024
1,Rent,11545,25,1,12,3,2024
1,Utilities,2673,25,2,12,4,2024
1,Subscriptions,670,34,3,12,5,2024
1,Utilities,401,23,4,12,6,2024
1,Public Transport,259,24,5,12,7,2024
1,Rent,18305,34,6,12,8,2024
1,Rent,17530,37,0,12,9,2024
1,Groceries,769,50,1,12,10,2024
1,Subscriptions,938,31,2,12,11,2024
1,Subscriptions,1329,31,3,12,12,2024
1,Shopping,2076,35,4,12,13,2024
1,Entertainment,1090,30,5,12,14,2024
1,Healthcare,2090,30,6,12,15,2024
1,Public Transport,577,43,0,12,16,2024
1,Healthcare,2511,24,1,12,17,2024
1,Hobbies,2350,27,2,12,18,2024
1,Hobbies,2068,25,3,12,19,2024
1,Entertainment,984,23,4,12,20,2024
1,Hobbies,451,27,5,12,21,2024
1,Groceries,693,46,6,12,22,2024
1,Utilities,1669,22,0,12,23,2024
1,Groceries,384,23,1,12,24,2024
1,Utilities,1130,44,2,12,25,2024
2,Shopping,1522,23,0,1,1,2024
2,Dining,589,20,1,1,2,2024
2,Healthcare,1829,40,2,1,3,2024
2,Public Transport,225,44,3,1,4,2024
2,Luxury Items,7843,32,4,1,5,2024
2,Rent,16271,25,5,1,6,2024
2,Healthcare,4794,23,6,1,7,2024
2,Rent,16168,38,0,1,8,2024
2,Hobbies,1420,39,1,1,9,2024
2,Travel,4719,27,2,1,10,2024
2,Subscriptions,1170,34,3,1,11,2024
2,Subscriptions,1048,24,4,1,12,2024
2,Utilities,2928,26,5,1,13,2024
2,Education,5789,23,6,1,14,2024
2,Healthcare,2119,59,0,1,15,2024
2,Public Transport,809,18,1,1,16,2024
2,Education,4680,35,2,1,17,2024
2,Education,3694,32,3,1,18,2024
2,Hobbies,2317,30,4,1,19,2024
2,Groceries,1094,46,5,1,20,2024
2,Rent,19122,31,6,1,21,2024
2,Luxury Items,8036,27,0,1,22,2024
2,Luxury Items,14347,29,1,1,23,2024
2,Subscriptions,655,20,2,1,24,2024
2,Rent,10897,30,3,1,25,2024
2,Rent,17295,22,4,1,26,2024
2,Groceries,868,46,5,1,27,2024
2,Healthcare,3549,59,6,1,28,2024
2,Hobbies,1359,32,0,1,29,2024
2,Entertainment,784,24,1,1,30,2024
2,Shopping,4553,32,2,1,31,2024
2,Rent,10231,30,3,2,1,2024
2,Public Transport,883,21,4,2,2,2024
2,Subscriptions,438,19,5,2,3,2024
2,Dining,1135,18,6,2,4,2024
2,Public Transport,460,45,0,2,5,2024
2,Groceries,1071,40,1,2,6,2024
2,Hobbies,682,25,2,2,7,2024
2,Education,5159,33,3,2,8,2024
2,Rent,17594,38,4,2,9,2024
2,Travel,6718,28,5,2,10,2024
2,Dining,481,35,6,2,11,2024
2,Groceries,409,46,0,2,12,2024
2,Subscriptions,127,39,1,2,13,2024
2,Rent,14514,32,2,2,14,2024
2,Utilities,2752,23,3,2,15,2024
2,Entertainment,1697,19,4,2,16,2024
2,Utilities,2059,42,5,2,17,2024
2,Entertainment,1816,28,6,2,18,2024
2,Luxury Items,15393,38,0,2,19,2024
2,Luxury Items,24721,40,1,2,20,2024
2,Subscriptions,519,39,2,2,21,2024
2,Subscriptions,905,19,3,2,22,2024
2,Utilities,1060,39,4,2,23,2024
2,Healthcare,4776,42,5,2,24,2024
2,Luxury Items,12291,36,6,2,25,2024
2,Education,3678,31,0,2,26,2024
2,Subscriptions,1436,20,1,2,27,2024
2,Travel,4663,31,2,2,28,2024
2,Healthcare,2378,53,3,2,29,2024
2,Shopping,1514,31,4,3,1,2024
2,Healthcare,4677,42,5,3,2,2024
2,Healthcare,2501,19,6,3,3,2024
2,Entertainment,2469,19,0,3,4,2024
2,Shopping,4492,26,1,3,5,2024
2,Luxury Items,13052,36,2,3,6,2024
2,Hobbies,1544,25,3,3,7,2024
2,Education,7952,20,4,3,8,2024
2,Shopping,1602,19,5,3,9,2024
2,Travel,4100,20,6,3,10,2024
2,Entertainment,562,28,0,3,11,2024
2,Entertainment,2179,27,1,3,12,2024
2,Travel,4674,38,2,3,13,2024
2,Healthcare,3516,56,3,3,14,2024
2,Rent,12240,22,4,3,15,2024
2,Travel,3465,23,5,3,16,2024
2,Public Transport,890,21,6,3,17,2024
2,Utilities,955,29,0,3,18,2024
2,Healthcare,4805,49,1,3,19,2024
2,Shopping,3139,22,2,3,20,2024
2,Healthcare,4830,21,3,3,21,2024
2,Shopping,4019,35,4,3,22,2024
2,Education,5775,23,5,3,23,2024
2,Travel,3462,27,6,3,24,2024
2,Shopping,3799,23,0,3,25,2024
2,Entertainment,1815,23,1,3,26,2024
2,Education,9473,19,2,3,27,2024
2,Subscriptions,630,33,3,3,28,2024
2,Groceries,1170,22,4,3,29,2024
2,Shopping,4472,24,5,3,30,2024
2,Rent,11907,39,6,3,31,2024
2,Healthcare,988,23,0,4,1,2024
2,Healthcare,1031,18,1,4,2,2024
2,Entertainment,973,20,2,4,3,2024
2,Education,3705,26,3,4,4,2024
2,Dining,556,26,4,4,5,2024
2,Rent,8408,38,5,4,6,2024
2,Education,1272,25,6,4,7,2024
2,Rent,19086,28,0,4,8,2024
2,Education,3025,26,1,4,9,2024
2,Shopping,2554,27,2,4,10,2024
2,Groceries,742,33,3,4,11,2024
2,Luxury Items,23819,25,4,4,12,2024
2,Education,2156,28,5,4,13,2024
2,Luxury Items,11815,45,6,4,14,2024
2,Hobbies,369,18,0,4,15,2024
2,Travel,6200,31,1,4,16,2024
2,Subscriptions,601,24,2,4,17,2024
2,Education,3999,35,3,4,18,2024
2,Subscriptions,888,35,4,4,19,2024
2,Travel,7276,22,5,4,20,2024
2,Shopping,1239,29,6,4,21,2024
2,Travel,2310,30,0,4,22,2024
2,Utilities,2355,44,1,4,23,2024
2,Rent,8464,25,2,4,24,2024
2,Hobbies,431,19,3,4,25,2024
2,Rent,16837,33,4,4,26,2024
2,Subscriptions,423,29,5,4,27,2024
2,Hobbies,2966,40,6,4,28,2024
2,Rent,17681,33,0,4,29,2024
2,Luxury Items,18954,25,1,4,30,2024
2,Groceries,396,25,2,5,1,2024
2,Groceries,1459,43,3,5,2,2024
2,Education,2294,23,4,5,3,2024
2,Travel,6755,33,5,5,4,2024
2,Rent,9352,35,6,5,5,2024
2,Travel,7513,23,0,5,6,2024
2,Entertainment,846,22,1,5,7,2024
2,Shopping,2869,18,2,5,8,2024
2,Healthcare,1922,54,3,5,9,2024
2,Dining,318,27,4,5,10,2024
2,Rent,8734,36,5,5,11,2024
2,Hobbies,2944,40,6,5,12,2024
2,Rent,9391,40,0,5,13,2024
2,Rent,15596,29,1,5,14,2024
2,Travel,8999,26,2,5,15,2024
2,Subscriptions,1302,25,3,5,16,2024
2,Utilities,2178,36,4,5,17,2024
2,Subscriptions,1333,29,5,5,18,2024
2,Luxury Items,12900,30,6,5,19,2024
2,Groceries,905,38,0,5,20,2024
2,Dining,1454,29,1,5,21,2024
2,Travel,4231,22,2,5,22,2024
2,Education,9378,32,3,5,23,2024
2,Rent,11243,23,4,5,24,2024
2,Entertainment,768,18,5,5,25,2024
2,Shopping,1252,24,6,5,26,2024
2,Shopping,935,29,0,5,27,2024
2,Healthcare,784,36,1,5,28,2024
2,Public Transport,702,29,2,5,29,2024
2,Hobbies,1677,34,3,5,30,2024
2,Healthcare,3440,23,4,5,31,2024
2,Dining,1519,27,5,6,1,2024
2,Public Transport,51,34,6,6,2,2024
2,Rent,17965,27,0,6,3,2024
2,Dining,706,32,1,6,4,2024
2,Education,4586,28,2,6,5,2024
2,Hobbies,1595,24,3,6,6,2024
2,Education,7452,21,4,6,7,2024
2,Public Transport,344,31,5,6,8,2024
2,Shopping,2424,23,6,6,9,2024
2,Shopping,1988,26,0,6,10,2024
2,Shopping,2435,33,1,6,11,2024
2,Healthcare,852,35,2,6,12,2024
2,Education,1196,18,3,6,13,2024
2,Subscriptions,1201,19,4,6,14,2024
2,Rent,10574,32,5,6,15,2024
2,Hobbies,2941,28,6,6,16,2024
2,Dining,1066,27,0,6,17,2024
2,Healthcare,2989,35,1,6,18,2024
2,Utilities,1688,43,2,6,19,2024
2,Luxury Items,13822,41,3,6,20,2024
2,Subscriptions,1279,23,4,6,21,2024
2,Public Transport,748,20,5,6,22,2024
2,Healthcare,3707,21,6,6,23,2024
2,Entertainment,495,22,0,6,24,2024
2,Luxury Items,19975,41,1,6,25,2024
2,Entertainment,2087,23,2,6,26,2024
2,Groceries,231,22,3,6,27,2024
2,Travel,4730,37,4,6,28,2024
2,Education,9828,29,5,6,29,2024
2,Utilities,1145,23,6,6,30,2024
2,Utilities,2030,27,0,7,1,2024
2,Travel,3169,30,1,7,2,2024
2,Education,5674,30,2,7,3,2024
2,Utilities,1439,40,3,7,4,2024
2,Entertainment,1071,19,4,7,5,2024
2,Entertainment,892,28,5,7,6,2024
2,Public Transport,920,18,6,7,7,2024
2,Utilities,2905,21,0,7,8,2024
2,Travel,6711,32,1,7,9,2024
2,Luxury Items,23436,25,2,7,10,2024
2,Shopping,2607,26,3,7,11,2024
2,Education,6696,20,4,7,12,2024
2,Travel,2124,21,5,7,13,2024
2,Subscriptions,309,18,6,7,14,2024
2,Dining,510,34,0,7,15,2024
2,Rent,11991,30,1,7,16,2024
2,Travel,3084,30,2,7,17,2024
2,Dining,1385,24,3,7,18,2024
2,Groceries,211,29,4,7,19,2024
2,Shopping,4737,23,5,7,20,2024
2,Shopping,2906,34,6,7,21,2024
2,Luxury Items,7984,32,0,7,22,2024
2,Public Transport,82,20,1,7,23,2024
2,Groceries,826,26,2,7,24,2024
2,Subscriptions,712,23,3,7,25,2024
2,Healthcare,4424,51,4,7,26,2024
2,Utilities,867,25,5,7,27,2024
2,Shopping,895,20,6,7,28,2024
2,Dining,1891,33,0,7,29,2024
2,Utilities,2893,27,1,7,30,2024
2,Dining,1009,28,2,7,31,2024
2,Groceries,207,50,3,8,1,2024
2,Entertainment,1589,18,4,8,2,2024
2,Groceries,373,27,5,8,3,2024
2,Healthcare,4315,57,6,8,4,2024
2,Hobbies,2056,28,0,8,5,2024
2,Hobbies,1054,22,1,8,6,2024
2,Healthcare,1867,51,2,8,7,2024
2,Rent,8132,38,3,8,8,2024
2,Luxury Items,11197,38,4,8,9,2024
2,Rent,12839,26,5,8,10,2024
2,Subscriptions,163,35,6,8,11,2024
2,Rent,15771,24,0,8,12,2024
2,Entertainment,1755,30,1,8,13,2024
2,Subscriptions,815,36,2,8,14,2024
2,Shopping,2086,32,3,8,15,2024
2,Groceries,1456,22,4,8,16,2024
2,Travel,3180,36,5,8,17,2024
2,Healthcare,1553,55,6,8,18,2024
2,Rent,11514,24,0,8,19,2024
2,Utilities,899,43,1,8,20,2024
2,Dining,805,21,2,8,21,2024
2,Subscriptions,957,26,3,8,22,2024
2,Travel,3906,28,4,8,23,2024
2,Utilities,2282,21,5,8,24,2024
2,Luxury Items,13129,31,6,8,25,2024
2,Utilities,2598,43,0,8,26,2024
2,Hobbies,742,23,1,8,27,2024
2,Travel,4924,24,2,8,28,2024
2,Public Transport,527,30,3,8,29,2024
2,Shopping,1883,35,4,8,30,2024
2,Entertainment,756,28,5,8,31,2024
2,Travel,2499,22,6,9,1,2024
2,Groceries,340,48,0,9,2,2024
2,Education,3070,30,1,9,3,2024
2,Travel,9292,29,2,9,4,2024
2,Utilities,2689,29,3,9,5,2024
2,Hobbies,597,18,4,9,6,2024
2,Public Transport,967,35,5,9,7,2024
2,Dining,1577,31,6,9,8,2024
2,Rent,15358,28,0,9,9,2024
2,Groceries,777,41,1,9,10,2024
2,Groceries,1302,41,2,9,11,2024
2,Luxury Items,18146,36,3,9,12,2024
2,Hobbies,1190,33,4,9,13,2024
2,Healthcare,2989,60,5,9,14,2024
2,Entertainment,2114,24,6,9,15,2024
2,Luxury Items,15674,44,0,9,16,2024
2,Entertainment,614,19,1,9,17,2024
2,Subscriptions,308,36,2,9,18,2024
2,Rent,19592,38,3,9,19,2024
2,Healthcare,3077,26,4,9,20,2024
2,Hobbies,469,25,5,9,21,2024
2,Education,9535,22,6,9,22,2024
2,Entertainment,718,30,0,9,23,2024
2,Education,2576,26,1,9,24,2024
2,Healthcare,4589,35,2,9,25,2024
2,Travel,4132,30,3,9,26,2024
2,Shopping,1198,35,4,9,27,2024
2,Entertainment,1776,24,5,9,28,2024
2,Hobbies,2005,19,6,9,29,2024
2,Hobbies,1823,35,0,9,30,2024
2,Luxury Items,22943,38,1,10,1,2024
2,Rent,16044,32,2,10,2,2024
2,Rent,9284,37,3,10,3,2024
2,Travel,3340,39,4,10,4,2024
2,Education,7938,30,5,10,5,2024
2,Rent,18692,30,6,10,6,2024
2,Hobbies,1908,31,0,10,7,2024
2,Entertainment,1314,24,1,10,8,2024
2,Subscriptions,1015,31,2,10,9,2024
2,Luxury Items,18988,32,3,10,10,2024
2,Travel,7660,40,4,10,11,2024
2,Dining,1456,19,5,10,12,2024
2,Luxury Items,17517,36,6,10,13,2024
2,Entertainment,425,25,0,10,14,2024
2,Dining,1037,32,1,10,15,2024
2,Utilities,2159,30,2,10,16,2024
2,Healthcare,3622,22,3,10,17,2024
2,Entertainment,582,25,4,10,18,2024
2,Utilities,2975,40,5,10,19,2024
2,Dining,871,35,6,10,20,2024
2,Hobbies,2275,28,0,10,21,2024
2,Groceries,575,40,1,10,22,2024
2,Utilities,2223,32,2,10,23,2024
2,Subscriptions,1066,24,3,10,24,2024
2,Public Transport,565,41,4,10,25,2024
2,Healthcare,1071,57,5,10,26,2024
2,Rent,9946,40,6,10,27,2024
2,Dining,524,31,0,10,28,2024
2,Groceries,991,34,1,10,29,2024
2,Dining,1746,19,2,10,30,2024
